"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Americas","United States of America","Both sexes","105","105.27650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","United States of America","Male","131","130.75960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","United States of America","Female","79","79.49693","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Americas","United States of America","Both sexes","105","105.42490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","United States of America","Male","131","131.20700","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","United States of America","Female","81","80.74710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Americas","United States of America","Both sexes","106","106.29380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","United States of America","Male","137","137.30520","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","United States of America","Female","83","82.73055","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Americas","United States of America","Both sexes","110","110.43850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","United States of America","Male","142","141.69360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","United States of America","Female","86","85.58750","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Americas","United States of America","Both sexes","114","114.12380","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Uzbekistan","Male","230","230.02220","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Uzbekistan","Female","135","134.55240","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Europe","Uzbekistan","Both sexes","183","182.77540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Uzbekistan","Male","223","222.83930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Uzbekistan","Female","130","129.66960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Europe","Uzbekistan","Both sexes","177","176.58910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Uzbekistan","Male","220","220.10020","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Uzbekistan","Female","132","132.22490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Europe","Uzbekistan","Both sexes","176","176.29290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Uzbekistan","Male","217","217.02830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Uzbekistan","Female","129","129.28120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Europe","Uzbekistan","Both sexes","173","173.07590","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Uzbekistan","Male","218","218.06710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Uzbekistan","Female","131","131.36910","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Europe","Uzbekistan","Both sexes","174","174.45950","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Uzbekistan","Male","230","230.14960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Uzbekistan","Female","137","136.61030","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Europe","Uzbekistan","Both sexes","183","183.17430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Uzbekistan","Male","219","218.69570","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Uzbekistan","Female","130","129.96060","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Europe","Uzbekistan","Both sexes","174","174.07810","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Uzbekistan","Male","208","207.57010","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Uzbekistan","Female","124","123.63660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Europe","Uzbekistan","Both sexes","165","165.35480","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Uzbekistan","Male","197","196.66130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Uzbekistan","Female","117","117.43350","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Europe","Uzbekistan","Both sexes","157","156.79420","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Uzbekistan","Male","187","186.83140","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Uzbekistan","Female","112","111.92120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Europe","Uzbekistan","Both sexes","149","149.09270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Europe","Uzbekistan","Male","182","181.95600","","",""
