"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Low-income","United Republic of Tanzania","9.24","9.23637","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Low-income","United Republic of Tanzania","15.38","15.37817","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Low-income","United Republic of Tanzania","18.07","18.07019","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Low-income","United Republic of Tanzania","20.01","20.01339","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Low-income","United Republic of Tanzania","18.10","18.09726","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Low-income","United Republic of Tanzania","18.96","18.95877","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Low-income","United Republic of Tanzania","28.20","28.19875","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Low-income","United Republic of Tanzania","18.18","18.17651","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Low-income","United Republic of Tanzania","15.30","15.29836","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Low-income","United Republic of Tanzania","11.52","11.52314","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Low-income","United Republic of Tanzania","10.93","10.93209","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Low-income","United Republic of Tanzania","13.90","13.89991","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Low-income","United Republic of Tanzania","15.92","15.92468","","",""
"General government expenditure on health as a percentage of total government expenditure","Ukraine note","Published","1997","Europe","Lower-middle-income","Ukraine","11.42","11.41524","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2002","Americas","High-income","Uruguay","5.62","5.62354","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2003","Americas","High-income","Uruguay","4.44","4.44272","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2004","Americas","High-income","Uruguay","21.43","21.42772","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2005","Americas","High-income","Uruguay","29.17","29.16942","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2006","Americas","High-income","Uruguay","29.13","29.13016","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2007","Americas","High-income","Uruguay","18.16","18.16318","","",""
"General government expenditure on health as a percentage of total government expenditure","Uruguay note","Published","2008","Americas","High-income","Uruguay","20.57","20.57175","","",""
